,0
2019-03-03,-0.021858629758871862
2019-03-08,0.02143168458526406
2019-03-13,0.014598193552835096
2019-03-18,-0.007742981661372302
2019-03-23,0.011957297596611521
2019-03-28,0.02396048425157823
2019-04-02,0.009918622591564402
2019-04-07,0.0050584737992424725
2019-04-12,0.005768685473839396
2019-04-17,0.006921134392402878
2019-04-22,0.01192499697192403
2019-04-27,0.0019573501829686733
2019-05-02,-0.015271333837163331
2019-05-07,-0.04199527720883264
2019-05-12,-0.007618967345103075
2019-05-17,-0.018980830661439962
2019-05-22,-0.028808301000635694
2019-05-27,-0.029302863397255477
2019-06-01,0.04312540332884797
2019-06-06,0.01881944071284123
2019-06-11,0.0010179148638613657
2019-06-16,0.021750110874492516
2019-06-21,-0.009953990266915728
2019-06-26,0.018888997842329096
2019-07-01,0.01155525433395432
2019-07-06,0.007781320865427797
2019-07-11,-0.0028942424117042896
2019-07-16,-0.009757840090878793
2019-07-21,0.016410278926185965
2019-07-26,-0.01682360605126474
2019-07-31,-0.04459128131903925
2019-08-05,-0.004580706591461314
2019-08-10,-0.01032152043272392
2019-08-15,0.029084234680060217
2019-08-20,-0.015605207106081032
2019-08-25,0.02748900566177534
2019-08-30,0.01833940043174933
2019-09-04,0.024848066751589064
2019-09-09,0.009582249474685554
2019-09-14,-0.005107078842577724
2019-09-19,-0.007296868922366
2019-09-24,-0.005039799095080952
2019-09-29,-0.003307530904682226
2019-10-04,0.009403772340096352
2019-10-09,0.03485644230368778
2019-10-14,0.005348795410051898
2019-10-19,0.012099202362615039
2019-10-24,0.013964191530321647
2019-10-29,0.012701075174797396
2019-11-03,0.00849687207517788
2019-11-08,0.003704405217614723
2019-11-13,0.009124259185663347
2019-11-18,-0.003264432341637528
2019-11-23,0.0011503812337545199
2019-11-28,-0.011545210646597541
2019-12-03,0.00706897162330676
2019-12-08,0.0072498142016620155
2019-12-13,0.011547161302559911
2019-12-18,0.00961988239750598
2019-12-23,2.1751882192386392e-05
2019-12-28,0.0019302257564755322
2020-01-02,0.0068694295926810065
2020-01-07,0.012809244076381133
2020-01-12,0.01949123412244266
2020-01-17,-0.006454706058254713
2020-01-22,-0.01350629779264599
2020-01-27,-0.02145460564122804
2020-02-01,0.03119018438525515
2020-02-06,0.013333255959321964
2020-02-11,0.005414747543554225
2020-02-16,-0.04671417178312083
2020-02-21,-0.12436362670440493
2020-02-26,-0.04072591293894564
2020-03-02,0.006125007114764464
2020-03-07,-0.09203469877635537
2020-03-12,-0.13378460262244352
2020-03-17,-0.06435832378893108
2020-03-22,0.09769670746182896
2020-03-27,-0.0400172714358939
2020-04-01,0.028537338594697054
2020-04-06,0.1040806871467748
2020-04-11,0.029922537316123078
2020-04-16,0.005714109591320172
2020-04-21,0.019405576434185702
2020-04-26,-0.0021279522975053734
2020-05-01,-0.010784377882298536
2020-05-06,0.0005855740158176234
2020-05-11,-0.022819700021742363
2020-05-16,0.031536429048748524
2020-05-21,0.019369570563713995
2020-05-26,0.03336760321752766
2020-05-31,0.04797781831135388
2020-06-05,-0.036066022923751176
2020-06-10,-0.026040948441373488
2020-06-15,0.018384447290384406
2020-06-20,-0.02904837965413313
2020-06-25,0.021255424978546704
2020-06-30,0.029712336850962758
2020-07-05,0.01742865752419837
2020-07-10,0.01995160686352789
2020-07-15,0.018523130899523774
2020-07-20,-0.002825961252348715
2020-07-25,0.017109211233300066
2020-07-30,0.02105388060473157
2020-08-04,0.019793004025664872
2020-08-09,0.006415742093192447
2020-08-14,0.003574551954125389
2020-08-19,0.015758246516580206
2020-08-24,0.03210916533666451
2020-08-29,-0.02337536850739327
2020-09-03,-0.0698691892461424
2020-09-08,-0.012751049166571648
2020-09-13,-0.006456052413010149
2020-09-18,-0.03344545793649516
2020-09-23,0.005984015013853818
2020-09-28,0.01503288841571423
2020-10-03,0.03772151646124146
2020-10-08,0.020043774520723708
2020-10-13,-0.030830740285747973
2020-10-18,-0.005301389882631005
2020-10-23,-0.042403857183958324
2020-10-28,-0.006367042039170743
2020-11-02,0.07067872342108866
2020-11-07,0.021343823047692605
2020-11-12,-0.0013640243500715847
2020-11-17,-0.01369160793246495
2020-11-22,0.017854862629301194
2020-11-27,0.010161323498832107
2020-12-02,0.010808433894704157
2020-12-07,-0.009686939829269044
2020-12-12,0.012464765254229331
2020-12-17,-0.003019794050026577
2020-12-22,0.008655481270668083
2020-12-27,-0.0006510671941099763
2021-01-01,0.018101569555078675
2021-01-06,0.01974807529769068
2021-01-11,-0.01486408306634725
2021-01-16,0.02285371302366582
2021-01-21,-0.026592420275860548
2021-01-26,-0.021366036928606835
2021-01-31,0.04541985691601983
2021-02-05,0.011463711954527826
2021-02-10,0.005125913354026331
2021-02-15,-0.014935014080951508
2021-02-20,-0.02476462232916901
2021-02-25,-0.027298768126587027
2021-03-02,-0.020839339584016632
2021-03-07,0.026050670119081795
2021-03-12,-0.00608040952744055
2021-03-17,-0.013257762310534837
2021-03-22,0.01557910427010576
2021-03-27,0.025675552746301143
2021-04-01,0.03080270988781969
2021-04-06,0.012206081758849402
2021-04-11,0.013632294273230327
2021-04-16,-0.00853424444901887
2021-04-21,0.012444858537968262
2021-04-26,0.00023919611532492377
2021-05-01,0.012225391524596858
2021-05-06,-0.025406422085403575
2021-05-11,-0.0060203675423281845
2021-05-16,-0.004319541120117414
2021-05-21,0.009990457645608117
2021-05-26,0.004761714371631914
2021-05-31,0.005316378335816623
2021-06-05,0.004140414398675291
2021-06-10,0.0009831263931050702
2021-06-15,-0.007160426419939319
2021-06-20,0.02705219208326534
2021-06-25,0.012449969623009064
2021-06-30,0.015336859533494764
2021-07-05,0.0073916213720925765
2021-07-10,-0.009748510489661338
2021-07-15,-0.003574922302599164
2021-07-20,0.03774518618517093
2021-07-25,-0.0037538774539896407
2021-07-30,0.0022490773897201896
2021-08-04,0.0030700365665610524
2021-08-09,0.007070591463325503
2021-08-14,-0.0059104669434992835
2021-08-19,0.02156445133652381
2021-08-24,0.010936722024937114
2021-08-29,0.005762455745157641
2021-09-03,-0.01742467596359698
2021-09-08,-0.017177549869984248
2021-09-13,-0.005755994386372367
2021-09-18,0.005060442020591517
2021-09-23,-0.008264984142497692
2021-09-28,-0.0326325662839347
2021-10-03,0.007841447422226599
2021-10-08,0.008712414222627276
2021-10-13,0.038104869379173144
2021-10-18,0.016310828128295936
2021-10-23,0.013219456157893675
2021-10-28,0.023641286335082758
2021-11-02,0.018900568182082786
2021-11-07,-0.0031298731324393312
2021-11-12,0.011817786000516077
2021-11-17,-0.0021720922814775856
2021-11-22,-0.009128448233595177
2021-11-27,-0.012304903308663144
2021-12-02,0.040848921336843605
2021-12-07,0.016694761315730604
2021-12-12,-0.019583441740692736
2021-12-17,0.012160533192264438
2021-12-22,0.030467440290955394
2021-12-27,0.008510431361197422
2022-01-01,-0.018881935208833446
2022-01-06,0.0054673331070100445
2022-01-11,-0.020153411895752024
2022-01-16,-0.05572272921016534
2022-01-21,-0.035471073249088755
2022-01-26,0.042708962360181624
2022-01-31,0.01537799373936894
2022-02-05,-0.018363132505071912
2022-02-10,-0.024756960512422883
2022-02-15,-0.022262663869471032
2022-02-20,0.005748123157059219
2022-02-25,0.017288547337933148
2022-03-02,-0.03198578929670996
2022-03-07,-0.029196361521458828
2022-03-12,0.05973789575759347
2022-03-17,0.02232433392786592
2022-03-22,0.025307013307477262
2022-03-27,0.0006160918569261477
2022-04-01,-0.006688423940851155
2022-04-06,-0.028619250151143215
2022-04-11,-0.021755401502161098
2022-04-16,-0.027888442857880467
2022-04-21,-0.06376732668819939
2022-04-26,-0.03330846505367653
2022-05-01,-0.0020811760515478768
2022-05-06,-0.053694059282957944
2022-05-11,0.02170694193079939
2022-05-16,-0.030923831912866198
2022-05-21,0.06376672636097715
2022-05-26,0.048587481384265586
2022-05-31,-0.00889173102205832
2022-06-05,-0.05187067457796446
2022-06-10,-0.09142831311824523
2022-06-15,0.0065133539290217445
2022-06-20,0.05949516719043142
2022-06-25,-0.022337526809736746
2022-06-30,0.021704039042461584
2022-07-05,0.007578359935537167
2022-07-10,-0.009332057423966603
2022-07-15,0.053565567447090366
2022-07-20,-0.003980766289209504
2022-07-25,0.04169210472633794
2022-07-30,0.003600979877800106
2022-08-04,0.013166385633857192
2022-08-09,0.037239422310005016
2022-08-14,-0.012145447092121066
2022-08-19,-0.019951507079139688
2022-08-24,-0.03514150947165012
2022-08-29,-0.033428630201124354
2022-09-03,0.04634501732092387
2022-09-08,-0.008544240607480203
2022-09-13,-0.052574498172236264
2022-09-18,-0.04761321370818575
2022-09-23,-0.031771451254381154
2022-09-28,0.03862691675957556
2022-10-03,0.01495881194591862
2022-10-08,-0.01567025263304013
2022-10-13,0.032490976088067655
2022-10-18,0.03194532629419515
2022-10-23,0.03875942153966845
2022-10-28,-0.023226220249278555
2022-11-02,-0.007285098475756066
2022-11-07,0.057304387765382735
2022-11-12,-0.006933656238193657
2022-11-17,0.01714781351522001
2022-11-22,0.0019449575536750398
2022-11-27,0.01125742853223771
2022-12-02,-0.028125966557168165
2022-12-07,0.019694338251445603
2022-12-12,-0.021067303916566468
2022-12-17,-0.001959169800389321
2022-12-22,-0.007546870388844343
2022-12-27,-0.0053932282899982024
2023-01-01,0.013604161207448463
2023-01-06,0.044947562337970454
2023-01-11,0.002449025840251473
2023-01-16,0.005167795193127102
2023-01-21,0.024357260064389232
2023-01-26,0.025320233448829752
2023-01-31,0.02295875950893392
2023-02-05,-0.011187756290773797
2023-02-10,0.0021806201330735932
2023-02-15,-0.03570617330320273
2023-02-20,-0.02402947327609926
2023-02-25,0.018863551412790766
2023-03-02,0.010227477342868059
2023-03-07,-0.048758525565947036
2023-03-12,0.014155077440349318
2023-03-17,-0.0029232688901142086
2023-03-22,-0.00792568541097806
2023-03-27,0.03423971403194521
2023-04-01,-4.871868666779869e-05
2023-04-06,0.013559280991199973
2023-04-11,0.010219886839423407
2023-04-16,-0.0009962610928691443
2023-04-21,0.0013454241163482275
2023-04-26,0.011707853483512373
2023-05-01,-0.008001742857158493
2023-05-06,-0.0029465967014089033
2023-05-11,0.005093752141325241
2023-05-16,0.013531412803008215
2023-05-21,0.0032081782438655535
2023-05-26,0.031089953352053678
2023-05-31,0.018454208032939984
2023-06-05,0.00384321744734602
2023-06-10,0.025431839713628546
2023-06-15,0.0021246942110121837
2023-06-20,-0.018486732234461054
2023-06-25,0.023197578149034566
2023-06-30,0.0005708112853184816
2023-07-05,-0.0036718094603597744
2023-07-10,0.02391517863699049
2023-07-15,0.006839385961437792
2023-07-20,0.0002255217123930381
2023-07-25,0.00750688678896835
2023-07-30,-0.023002605333679604
2023-08-04,-0.0073706920901045175
2023-08-09,-0.013767335996871171
2023-08-14,-0.021359745570788242
2023-08-19,0.008204781600332608
2023-08-24,0.017621148563733056
2023-08-29,0.014226224863046928
2023-09-03,-0.006288887868153856
2023-09-08,0.012049836188589434
2023-09-13,-0.004030997858650683
2023-09-18,-0.029706659594897482
2023-09-23,-0.00743726601145215
2023-09-28,-0.002520366354755877
2023-10-03,0.010962480810733151
2023-10-08,0.004464843118593028
2023-10-13,-0.016600543816283547
2023-10-18,-0.02912205832117189
2023-10-23,-0.025605822987249772
2023-10-28,0.05687657659080396
2023-11-02,0.03362478463687037
2023-11-07,0.01038338456446531
2023-11-12,0.02212586757494606
2023-11-17,0.01127095650317401
2023-11-22,0.002726473300008351
2023-11-27,0.007710362814891236
2023-12-02,0.002117673228620223
2023-12-07,0.03408771634981942
2023-12-12,0.025232593018818566
2023-12-17,0.007481693208946742
2023-12-22,0.004850507889755915
2023-12-27,-0.014756214436904528
2024-01-01,-0.0013195837144511172
2024-01-06,0.018266345150604265
2024-01-11,-0.0005249166811487141
2024-01-16,0.013825899822558687
2024-01-21,0.010515215883764653
2024-01-26,0.0024549717261573237
2024-01-31,0.005923526318413357
2024-02-05,0.013620341485358876
2024-02-10,-0.0041945161602020805
2024-02-15,0.017132192793768767
2024-02-20,0.012696811477523471
2024-02-25,0.009442831862128177
2024-03-01,0.01191589072049224
2024-03-06,0.018846056464574844
2024-03-11,-0.001288983594714915
2024-03-16,0.022624340059385933
2024-03-21,0.004558370478070562
2024-03-26,-0.0023752664299682294
2024-03-31,-0.009563460690854944
2024-04-05,0.010023038570422348
2024-04-10,-0.030895167966081886
2024-04-15,-0.030957926745509658
2024-04-20,0.026370352164700003
2024-04-25,-0.010553049465714483
2024-04-30,0.012541851471280894
2024-05-05,0.018335939004153468
2024-05-10,0.015796845746967138
2024-05-15,0.0141428060764891
2024-05-20,0.00027341565923295376
2024-05-25,-0.00402721938914667
2024-05-30,0.016398023773449982
2024-06-04,0.01454154818006509
2024-06-09,0.01569993823145706
2024-06-14,0.005666901158603351
2024-06-19,-0.0016652883662014357
2024-06-24,-0.0007579128575351721
2024-06-29,0.020369915859522213
2024-07-04,0.00854561922427861
2024-07-09,0.010419542835222442
2024-07-14,-0.01984716650059574
2024-07-19,-0.0265681109167421
2024-07-24,-0.021707245622578364
2024-07-29,-0.02083058448816484
2024-08-03,-0.00044896926228249045
2024-08-08,0.04800864105724907
2024-08-13,0.04819128971612646
2024-08-18,0.014364510064582075
2024-08-23,0.003819871706610022
2024-08-28,-0.01897261595880629
2024-09-02,-0.03190178348605901
2024-09-07,0.039445284454613844
2024-09-12,0.011480191644052153
2024-09-17,0.015060634074005675
2024-09-22,0.006226921580973438
2024-09-27,-0.007938695263557276
2024-10-02,0.007396251347019782
2024-10-07,0.011060014193616432
2024-10-12,0.008500293134096889
2024-10-17,-0.00774071187705817
2024-10-22,-0.005216875190771856
2024-10-27,-0.013750908025073843
2024-11-01,0.04584417935208056
2024-11-06,0.034206571880920786
2024-11-11,-0.02105559597087716
2024-11-16,0.016676072323963426
2024-11-21,0.013701355327635651
2024-11-26,0.010386147591091332
2024-12-01,0.009550812278895652
2024-12-06,-0.003935211282063418
2024-12-11,0.0025981034886620436
2024-12-16,-0.020070837124528743
2024-12-21,-0.00403963724415656
